Machine,Batch,Step,Comp,Tool,From,To,Dist,Switch
M2,10,Plc57,E,E6,"(6, 0)","(1, 2)",5.39,0
M2,10,Return58,-,E6,"(1, 2)","(0, 0)",2.24,0
M2,11,Pick59,E,E6,"(0, 0)","(6, 0)",6.0,0
M2,11,Pick60,G,E2,"(6, 0)","(8, 0)",2.0,1
M2,11,Pick61,C,E4,"(8, 0)","(4, 0)",4.0,1
M2,11,Plc62,E,E6,"(4, 0)","(1, 10)",10.44,1
M2,11,Plc63,G,E2,"(1, 10)","(3, 11)",2.24,1
M2,11,Plc64,C,E4,"(3, 11)","(2, 10)",1.41,1
M2,11,Return65,-,E4,"(2, 10)","(0, 0)",10.2,0
M2,12,Pick66,H,E4,"(0, 0)","(9, 0)",9.0,0
M2,12,Pick67,G,E2,"(9, 0)","(8, 0)",1.0,1
M2,12,Pick68,E,E6,"(8, 0)","(6, 0)",2.0,1
M2,12,Plc69,H,E4,"(6, 0)","(4, 3)",3.61,1
M2,12,Plc70,G,E2,"(4, 3)","(2, 3)",2.0,1
M2,12,Plc71,E,E6,"(2, 3)","(1, 4)",1.41,1
M2,12,Return72,-,E6,"(1, 4)","(0, 0)",4.12,0
M2,13,Pick73,A,E6,"(0, 0)","(2, 0)",2.0,0
M2,13,Plc74,A,E6,"(2, 0)","(2, 6)",6.0,0
M2,13,Return75,-,E6,"(2, 6)","(0, 0)",6.32,0
M2,14,Pick76,E,E6,"(0, 0)","(6, 0)",6.0,0
M2,14,Pick77,F,E2,"(6, 0)","(7, 0)",1.0,1
M2,14,Plc78,E,E6,"(7, 0)","(1, 5)",7.81,1
M2,14,Plc79,F,E2,"(1, 5)","(2, 2)",3.16,1
M2,14,Return80,-,E2,"(2, 2)","(0, 0)",2.83,0
M2,15,Pick81,F,E2,"(0, 0)","(7, 0)",7.0,0
M2,15,Plc82,F,E2,"(7, 0)","(6, 2)",2.24,0
M2,15,Return83,-,E2,"(6, 2)","(0, 0)",6.32,0
M2,16,Pick84,F,E2,"(0, 0)","(7, 0)",7.0,0
M2,16,Plc85,F,E2,"(7, 0)","(4, 2)",3.61,0
M2,16,Return86,-,E2,"(4, 2)","(0, 0)",4.47,0
M2,17,Pick87,F,E2,"(0, 0)","(7, 0)",7.0,0
M2,17,Pick88,H,E4,"(7, 0)","(9, 0)",2.0,1
M2,17,Plc89,F,E2,"(9, 0)","(8, 2)",2.24,1
M2,17,Plc90,H,E4,"(8, 2)","(6, 3)",2.24,1
M2,17,Return91,-,E4,"(6, 3)","(0, 0)",6.71,0
M3,0,Pick0,D,E9,"(0, 0)","(5, 0)",5.0,1
M3,0,Plc1,D,E9,"(5, 0)","(5, 2)",2.0,0
M3,0,Return2,-,E9,"(5, 2)","(0, 0)",5.39,0
M3,1,Pick3,D,E9,"(0, 0)","(5, 0)",5.0,0
M3,1,Pick4,E,E5,"(5, 0)","(6, 0)",1.0,1
M3,1,Pick5,E,E7,"(6, 0)","(6, 0)",0.0,1
M3,1,Plc6,D,E9,"(6, 0)","(3, 13)",13.34,1
M3,1,Plc7,E,E5,"(3, 13)","(1, 13)",2.0,1
M3,1,Plc8,E,E7,"(1, 13)","(1, 12)",1.0,1
M3,1,Return9,-,E7,"(1, 12)","(0, 0)",12.04,0
M3,2,Pick10,D,E9,"(0, 0)","(5, 0)",5.0,1
M3,2,Plc11,D,E9,"(5, 0)","(7, 2)",2.83,0
M3,2,Return12,-,E9,"(7, 2)","(0, 0)",7.28,0
M3,3,Pick13,D,E9,"(0, 0)","(5, 0)",5.0,0
M3,3,Pick14,E,E5,"(5, 0)","(6, 0)",1.0,1
M3,3,Pick15,E,E7,"(6, 0)","(6, 0)",0.0,1
M3,3,Plc16,D,E9,"(6, 0)","(8, 5)",5.39,1
M3,3,Plc17,E,E5,"(8, 5)","(12, 7)",4.47,1
M3,3,Plc18,E,E7,"(12, 7)","(12, 8)",1.0,1
M3,3,Return19,-,E7,"(12, 8)","(0, 0)",14.42,0
M3,4,Pick20,J,E7,"(0, 0)","(11, 0)",11.0,0
M3,4,Pick21,D,E9,"(11, 0)","(5, 0)",6.0,1
M3,4,Pick22,E,E5,"(5, 0)","(6, 0)",1.0,1
M3,4,Plc23,J,E7,"(6, 0)","(9, 8)",8.54,1
M3,4,Plc24,D,E9,"(9, 8)","(4, 8)",5.0,1
M3,4,Plc25,E,E5,"(4, 8)","(1, 9)",3.16,1
M3,4,Return26,-,E5,"(1, 9)","(0, 0)",9.06,0
M3,5,Pick27,E,E5,"(0, 0)","(6, 0)",6.0,0
M3,5,Pick28,D,E9,"(6, 0)","(5, 0)",1.0,1
M3,5,Pick29,J,E7,"(5, 0)","(11, 0)",6.0,1
M3,5,Plc30,E,E5,"(11, 0)","(12, 9)",9.06,1
M3,5,Plc31,D,E9,"(12, 9)","(10, 10)",2.24,1
